CH06,edad2,educ,ingreso_total_familiar,ix_tot,horastrab,CH04,PP07H,PP03C,CAT_OCUP,CH07,informal
-1.0157331318587106,-0.9790837881928817,0.4825599246790142,-0.9761202595898324,-0.7352559081171498,-0.4724886356371546,0,1,1,3.0,2.0,0
-1.7553083712851314,-1.4345737584712193,-0.18706330851551795,-0.5900845457695145,-0.7352559081171498,-1.4712306273193092,0,0,1,2.0,5.0,0
1.3673426396264232,1.4338979187618521,-0.10336040436620142,-0.6078213218099076,-1.3737676177978326,-1.5887296851642687,0,0,0,3.0,5.0,1
-1.5087832914763244,-1.298184106353977,0.31515411638038116,-0.640761048742066,-0.7352559081171498,-0.17874099102475619,0,0,1,3.0,3.0,1
0.6277674002000024,0.5306381471929453,-0.354469116814151,-0.9761202595898324,0.5417675112442158,0.29125524035508127,1,0,0,3.0,1.0,1
-1.2622582116675174,-1.1463541162611977,0.06404540393243162,-0.2010678611861055,-0.7352559081171498,-1.6474792140867482,1,0,1,3.0,5.0,1
-1.3444332382704531,-1.1986797060671837,0.14774830808174813,0.2162680456466705,-1.3737676177978326,0.11500665358764223,0,1,1,3.0,3.0,0
0.2990672937882598,0.17379478064720444,-0.10336040436620142,-0.9761202595898324,1.1802792209248987,0.5850028849674797,1,0,1,2.0,2.0,0
-1.837483397888067,-1.4766057896268474,-0.10336040436620142,-0.45445037604886235,-0.7352559081171498,-0.4724886356371546,0,1,1,3.0,5.0,0
0.052542213979452884,-0.0758240166239749,-0.6055778292621006,-0.11424708771107266,-0.096744198436467,-1.2949820405518702,0,0,1,3.0,5.0,1
-1.0979081584616461,-1.0365561573240467,0.14774830808174813,-0.23087756881701807,-1.3737676177978326,0.5850028849674797,0,1,1,3.0,5.0,0
1.449517666229359,1.5428380811448066,0.14774830808174813,-0.6780231832807067,-0.7352559081171498,-0.11999146210227651,1,0,1,3.0,3.0,1
-0.029632812623482763,-0.15559909616424872,-0.9403894458593666,-0.5070496051636076,0.5417675112442158,0.2325057114326016,1,0,1,3.0,2.0,1
-0.8513830786528392,-0.8589922706053726,-0.43817202096346747,0.14897263066988534,0.5417675112442158,1.1724981741922766,1,0,0,3.0,2.0,1
-0.19398286582935406,-0.3100024759196174,0.14774830808174813,0.36531658380123333,0.5417675112442158,1.466245818804675,1,0,1,1.0,1.0,0
-0.9335581052557749,-0.9198958259533236,0.14774830808174813,1.1105592745740476,0.5417675112442158,1.289997232037236,0,1,1,3.0,1.0,0
-0.1118078392264184,-0.23365858259612954,-0.10336040436620142,-0.45445037604886235,0.5417675112442158,-0.4724886356371546,0,0,1,3.0,3.0,1
-1.2622582116675174,-1.1463541162611977,0.31515411638038116,0.9615107364194847,-0.7352559081171498,0.702501942812439,1,1,1,3.0,1.0,0
0.3812423203911955,0.2604322326210502,0.4825599246790142,-0.9761202595898324,-0.096744198436467,0.2325057114326016,1,0,0,2.0,1.0,0
0.3812423203911955,0.2604322326210502,0.31515411638038116,-0.08182903066245523,-0.096744198436467,-0.4724886356371546,1,1,1,3.0,4.0,0
1.202992586420552,1.221164373321122,-0.6055778292621006,-0.9761202595898324,-0.7352559081171498,-1.6474792140867482,0,0,0,3.0,4.0,1
