CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,CH14,CH15_COD,CH16_COD,PP03C,PP04B_COD,PP06H,PP07A,AÑO,CAT_OCUP,PP07H,informal,EMPLEO,edad2,CH12,CH13,educ,ingreso_total_familiar,horastrab,ix_tot
2.0,34.0,5.0,4.0,4.0,1.0,0.0,408750.0,,,,1.0,9301.0,0.0,5.0,2025,3.0,2.0,1,2.0,1156.0,4.0,1.0,,1635000.0,,4
1.0,55.0,5.0,4.0,1.0,1.0,0.0,408750.0,3.0,,,1.0,4000.0,0.0,5.0,2025,3.0,2.0,1,2.0,3025.0,2.0,2.0,3.0,1635000.0,,4
2.0,36.0,3.0,1.0,6.0,1.0,0.0,0.0,,,,1.0,8401.0,0.0,6.0,2025,3.0,1.0,0,1.0,1296.0,7.0,1.0,17.0,0.0,,3
1.0,51.0,1.0,1.0,6.0,1.0,0.0,0.0,,212.0,,2.0,6900.0,0.0,0.0,2025,2.0,0.0,0,1.0,2601.0,8.0,1.0,19.0,0.0,42.0,3
2.0,49.0,1.0,1.0,6.0,1.0,0.0,0.0,,6.0,,0.0,8501.0,0.0,6.0,2025,3.0,1.0,0,1.0,2401.0,8.0,1.0,19.0,0.0,,3
1.0,36.0,5.0,1.0,6.0,1.0,0.0,1000000.0,,,,1.0,1902.0,0.0,2.0,2025,3.0,2.0,1,2.0,1296.0,6.0,1.0,15.0,1000000.0,25.0,1
2.0,65.0,2.0,1.0,5.0,1.0,0.0,0.0,2.0,,,1.0,4807.0,1.0,0.0,2025,2.0,0.0,0,1.0,4225.0,6.0,2.0,14.0,0.0,36.0,2
2.0,57.0,2.0,1.0,6.0,1.0,0.0,0.0,,,,1.0,8600.0,0.0,6.0,2025,3.0,1.0,0,1.0,3249.0,6.0,1.0,15.0,0.0,,2
2.0,46.0,1.0,4.0,4.0,1.0,0.0,0.0,,,,1.0,8600.0,0.0,0.0,2025,2.0,0.0,0,2.0,2116.0,4.0,1.0,,0.0,4.0,4
1.0,61.0,1.0,3.0,5.0,1.0,0.0,0.0,2.0,,,1.0,4504.0,0.0,0.0,2025,2.0,0.0,0,2.0,3721.0,7.0,2.0,14.0,0.0,,4
1.0,29.0,5.0,4.0,3.0,1.0,0.0,0.0,2.0,,,1.0,1400.0,0.0,0.0,2025,2.0,0.0,0,2.0,841.0,4.0,2.0,,0.0,,4
1.0,57.0,3.0,4.0,6.0,1.0,0.0,666666.67,,,,1.0,5900.0,0.0,0.0,2025,2.0,0.0,0,2.0,3249.0,7.0,1.0,17.0,2000000.0,51.0,3
1.0,48.0,2.0,4.0,4.0,1.0,0.0,340000.0,,,,1.0,4000.0,0.0,0.0,2025,2.0,0.0,0,2.0,2304.0,4.0,1.0,,1700000.0,40.0,5
2.0,45.0,2.0,1.0,6.0,1.0,0.0,340000.0,,,,2.0,8501.0,0.0,6.0,2025,3.0,1.0,0,1.0,2025.0,6.0,1.0,15.0,1700000.0,,5
1.0,40.0,1.0,4.0,3.0,1.0,0.0,173800.0,3.0,,,0.0,4000.0,2.0,0.0,2025,2.0,0.0,0,2.0,1600.0,4.0,2.0,,869000.0,0.0,5
2.0,36.0,1.0,4.0,3.0,1.0,0.0,173800.0,3.0,,,1.0,9609.0,0.0,0.0,2025,2.0,0.0,0,2.0,1296.0,4.0,2.0,,869000.0,,5
2.0,45.0,2.0,1.0,5.0,1.0,0.0,333333.33,2.0,,,1.0,5601.0,1.0,0.0,2025,2.0,0.0,0,1.0,2025.0,7.0,2.0,14.0,1000000.0,42.0,3
1.0,56.0,3.0,1.0,5.0,1.0,0.0,0.0,99.0,,,1.0,8600.0,0.0,6.0,2025,3.0,1.0,0,1.0,3136.0,7.0,2.0,,0.0,50.0,3
1.0,46.0,1.0,1.0,4.0,1.0,0.0,633333.33,,,,1.0,4903.0,0.0,6.0,2025,3.0,1.0,0,1.0,2116.0,4.0,1.0,,1900000.0,60.0,3
2.0,39.0,1.0,1.0,5.0,1.0,0.0,0.0,2.0,,,1.0,6100.0,0.0,5.0,2025,3.0,1.0,0,1.0,1521.0,6.0,2.0,14.0,0.0,,3
2.0,36.0,3.0,4.0,5.0,1.0,0.0,0.0,2.0,,,1.0,6100.0,0.0,2.0,2025,3.0,2.0,1,2.0,1296.0,6.0,2.0,14.0,0.0,,3
2.0,39.0,2.0,1.0,4.0,1.0,0.0,445000.0,,,,1.0,9700.0,0.0,0.0,2025,3.0,1.0,0,1.0,1521.0,4.0,1.0,,1780000.0,40.0,4
1.0,42.0,2.0,1.0,2.0,1.0,0.0,445000.0,,,,1.0,8000.0,0.0,6.0,2025,3.0,1.0,0,1.0,1764.0,2.0,1.0,6.0,1780000.0,,4
2.0,50.0,3.0,1.0,6.0,1.0,0.0,0.0,,,,1.0,3501.0,0.0,6.0,2025,3.0,1.0,0,1.0,2500.0,7.0,1.0,17.0,0.0,36.0,4
2.0,58.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,,,1.0,9100.0,0.0,6.0,2025,3.0,1.0,0,1.0,3364.0,4.0,2.0,,0.0,48.0,6
2.0,43.0,5.0,4.0,4.0,1.0,0.0,525000.0,,,,1.0,8600.0,0.0,6.0,2025,3.0,2.0,1,2.0,1849.0,4.0,1.0,,2100000.0,,4
1.0,29.0,5.0,1.0,4.0,1.0,0.0,525000.0,,,,1.0,2201.0,0.0,5.0,2025,3.0,1.0,0,1.0,841.0,4.0,1.0,,2100000.0,,4
2.0,31.0,1.0,4.0,4.0,1.0,0.0,222333.33,,,,1.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,961.0,4.0,1.0,,2668000.0,,12
2.0,30.0,5.0,4.0,4.0,1.0,0.0,222333.33,,,,1.0,5500.0,0.0,6.0,2025,3.0,2.0,1,2.0,900.0,4.0,1.0,,2668000.0,,12
1.0,21.0,5.0,4.0,3.0,1.0,0.0,222333.33,2.0,,,1.0,4804.0,0.0,0.0,2025,2.0,0.0,0,2.0,441.0,4.0,2.0,,2668000.0,,12
1.0,36.0,1.0,1.0,3.0,1.0,0.0,222333.33,2.0,,,1.0,5601.0,0.0,2.0,2025,3.0,2.0,1,2.0,1296.0,4.0,2.0,,2668000.0,,12
1.0,34.0,1.0,1.0,3.0,1.0,0.0,284000.0,2.0,,,1.0,4804.0,0.0,5.0,2025,3.0,1.0,0,1.0,1156.0,4.0,2.0,,1136000.0,55.0,4
2.0,57.0,2.0,1.0,6.0,1.0,0.0,2250000.0,,30.0,,1.0,7400.0,0.0,0.0,2025,2.0,0.0,0,1.0,3249.0,7.0,1.0,17.0,4500000.0,36.0,2
1.0,54.0,2.0,1.0,6.0,1.0,0.0,2250000.0,,30.0,,1.0,3501.0,0.0,6.0,2025,3.0,1.0,0,1.0,2916.0,7.0,1.0,17.0,4500000.0,,2
2.0,34.0,5.0,1.0,6.0,1.0,0.0,1200000.0,,,,1.0,8600.0,0.0,6.0,2025,3.0,1.0,0,1.0,1156.0,7.0,1.0,17.0,1200000.0,60.0,1
2.0,20.0,5.0,1.0,4.0,1.0,0.0,445000.0,,,,1.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,400.0,4.0,1.0,,1780000.0,,4
1.0,51.0,1.0,1.0,4.0,1.0,0.0,250000.0,,6.0,,1.0,4803.0,0.0,6.0,2025,3.0,1.0,0,1.0,2601.0,4.0,1.0,,1000000.0,48.0,4
2.0,36.0,5.0,2.0,6.0,1.0,0.0,360000.0,,6.0,,2.0,4803.0,0.0,1.0,2025,3.0,2.0,1,2.0,1296.0,8.0,1.0,19.0,360000.0,78.0,1
1.0,37.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0,,,1.0,4000.0,0.0,4.0,2025,3.0,2.0,1,2.0,1369.0,4.0,2.0,,0.0,,6
1.0,31.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,,,1.0,4000.0,0.0,4.0,2025,3.0,1.0,0,1.0,961.0,4.0,2.0,,0.0,,6
1.0,60.0,2.0,1.0,6.0,1.0,0.0,0.0,,,,1.0,8401.0,0.0,6.0,2025,3.0,1.0,0,1.0,3600.0,7.0,1.0,17.0,0.0,40.0,5
2.0,56.0,2.0,1.0,6.0,1.0,0.0,0.0,,,,1.0,8509.0,0.0,0.0,2025,1.0,0.0,0,1.0,3136.0,7.0,1.0,17.0,0.0,,5
1.0,23.0,5.0,1.0,6.0,1.0,0.0,0.0,,,,1.0,6200.0,0.0,2.0,2025,3.0,2.0,1,2.0,529.0,7.0,1.0,17.0,0.0,,5
1.0,52.0,1.0,4.0,4.0,1.0,0.0,196276.57,,,,1.0,8102.0,0.0,0.0,2025,2.0,0.0,0,2.0,2704.0,4.0,1.0,,1373936.0,25.0,7
2.0,24.0,5.0,4.0,2.0,1.0,0.0,196276.57,,,,1.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,576.0,2.0,1.0,6.0,1373936.0,,7
1.0,18.0,5.0,4.0,4.0,1.0,0.0,196276.57,,,,1.0,8101.0,0.0,0.0,2025,2.0,0.0,0,2.0,324.0,4.0,1.0,,1373936.0,,7
2.0,28.0,1.0,1.0,4.0,1.0,0.0,284000.0,,,,2.0,4811.0,0.0,5.0,2025,3.0,2.0,1,2.0,784.0,4.0,1.0,,1136000.0,,4
1.0,35.0,1.0,1.0,2.0,1.0,0.0,304008.43,,,,1.0,9999.0,0.0,6.0,2025,3.0,1.0,0,1.0,1225.0,2.0,1.0,6.0,2128059.0,,7
2.0,26.0,5.0,1.0,5.0,1.0,0.0,304008.43,4.0,,,0.0,8509.0,0.0,5.0,2025,3.0,2.0,1,2.0,676.0,7.0,2.0,16.0,2128059.0,,7
2.0,33.0,5.0,1.0,6.0,1.0,0.0,1000000.0,,,,1.0,8401.0,0.0,6.0,2025,3.0,1.0,0,1.0,1089.0,6.0,1.0,15.0,1000000.0,48.0,1
1.0,34.0,1.0,1.0,3.0,1.0,0.0,82500.0,2.0,,,1.0,4000.0,0.0,6.0,2025,3.0,1.0,0,1.0,1156.0,4.0,2.0,,495000.0,40.0,6
2.0,31.0,1.0,4.0,2.0,1.0,0.0,82500.0,,,,1.0,3200.0,0.0,0.0,2025,2.0,0.0,0,2.0,961.0,2.0,1.0,6.0,495000.0,,6
1.0,45.0,1.0,4.0,3.0,1.0,0.0,250000.0,2.0,,,2.0,4502.0,0.0,0.0,2025,2.0,0.0,0,2.0,2025.0,4.0,2.0,,500000.0,58.0,2
1.0,38.0,2.0,1.0,6.0,1.0,0.0,0.0,,,,2.0,6900.0,0.0,6.0,2025,3.0,2.0,1,2.0,1444.0,7.0,1.0,17.0,0.0,61.0,5
2.0,39.0,2.0,4.0,3.0,1.0,0.0,0.0,1.0,,,2.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,1521.0,4.0,2.0,,0.0,,5
2.0,20.0,5.0,4.0,4.0,1.0,0.0,0.0,,,,1.0,4807.0,0.0,1.0,2025,3.0,2.0,1,2.0,400.0,4.0,1.0,,0.0,,5
1.0,53.0,2.0,1.0,6.0,1.0,0.0,671666.67,,,,1.0,6200.0,0.0,6.0,2025,3.0,1.0,0,1.0,2809.0,7.0,1.0,17.0,4030000.0,35.0,6
2.0,28.0,5.0,2.0,5.0,1.0,0.0,671666.67,3.0,,,1.0,4803.0,0.0,5.0,2025,3.0,2.0,1,2.0,784.0,7.0,2.0,15.0,4030000.0,,6
1.0,61.0,5.0,4.0,3.0,1.0,0.0,200000.0,4.0,,,0.0,4000.0,0.0,0.0,2025,2.0,0.0,0,2.0,3721.0,4.0,2.0,,200000.0,0.0,1
2.0,35.0,3.0,4.0,4.0,1.0,0.0,154666.67,,,,1.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,1225.0,4.0,1.0,,928000.0,16.0,6
1.0,20.0,1.0,4.0,2.0,1.0,0.0,154666.67,,,,1.0,8102.0,0.0,4.0,2025,3.0,2.0,1,2.0,400.0,2.0,1.0,6.0,928000.0,,6
1.0,53.0,2.0,1.0,4.0,1.0,0.0,1650000.0,,14.0,,1.0,2309.0,0.0,6.0,2025,3.0,1.0,0,1.0,2809.0,4.0,1.0,,3300000.0,45.0,2
2.0,46.0,2.0,1.0,6.0,1.0,0.0,1650000.0,,82.0,,1.0,8600.0,0.0,6.0,2025,3.0,1.0,0,1.0,2116.0,7.0,1.0,17.0,3300000.0,,2
2.0,53.0,5.0,4.0,2.0,1.0,0.0,232547.67,,,,2.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,2809.0,2.0,1.0,6.0,697643.0,23.0,3
2.0,31.0,5.0,1.0,5.0,1.0,0.0,0.0,4.0,,,1.0,8501.0,0.0,2.0,2025,3.0,1.0,0,1.0,961.0,7.0,2.0,16.0,0.0,,4
2.0,38.0,5.0,4.0,3.0,1.0,0.0,285285.71,8.0,,,1.0,5601.0,0.0,5.0,2025,3.0,2.0,1,2.0,1444.0,3.0,2.0,14.0,1997000.0,,7
1.0,51.0,1.0,1.0,6.0,1.0,0.0,0.0,,,,1.0,8600.0,0.0,6.0,2025,3.0,1.0,0,1.0,2601.0,6.0,1.0,15.0,0.0,48.0,5
2.0,51.0,1.0,1.0,6.0,1.0,0.0,0.0,,,,0.0,8600.0,0.0,6.0,2025,3.0,1.0,0,1.0,2601.0,6.0,1.0,15.0,0.0,,5
1.0,22.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,,,1.0,4803.0,0.0,4.0,2025,3.0,2.0,1,2.0,484.0,7.0,2.0,13.0,0.0,,5
2.0,62.0,3.0,4.0,1.0,1.0,0.0,0.0,99.0,202.0,,1.0,4807.0,0.0,0.0,2025,2.0,0.0,0,2.0,3844.0,2.0,2.0,99.0,0.0,28.0,1
1.0,39.0,5.0,1.0,6.0,1.0,0.0,0.0,,,,1.0,8401.0,0.0,6.0,2025,3.0,1.0,0,1.0,1521.0,7.0,1.0,17.0,0.0,,2
2.0,33.0,1.0,4.0,4.0,1.0,0.0,471560.0,,,,2.0,5601.0,0.0,2.0,2025,3.0,2.0,1,2.0,1089.0,4.0,1.0,,2357800.0,56.0,5
1.0,33.0,1.0,1.0,3.0,1.0,0.0,471560.0,5.0,,,1.0,4805.0,0.0,6.0,2025,3.0,1.0,0,1.0,1089.0,4.0,2.0,,2357800.0,,5
2.0,49.0,3.0,1.0,4.0,1.0,0.0,397489.75,,,,1.0,9602.0,0.0,6.0,2025,3.0,2.0,1,2.0,2401.0,4.0,1.0,,1589959.0,20.0,4
1.0,25.0,5.0,4.0,6.0,1.0,0.0,397489.75,,,,1.0,4903.0,0.0,4.0,2025,3.0,2.0,1,2.0,625.0,6.0,1.0,15.0,1589959.0,,4
1.0,41.0,1.0,1.0,6.0,1.0,0.0,628835.33,,,,1.0,8401.0,0.0,6.0,2025,3.0,1.0,0,1.0,1681.0,6.0,1.0,15.0,1886506.0,72.0,3
1.0,31.0,1.0,4.0,5.0,1.0,0.0,133333.33,2.0,6.0,,1.0,9301.0,0.0,5.0,2025,3.0,2.0,1,2.0,961.0,6.0,2.0,14.0,400000.0,20.0,3
1.0,61.0,2.0,4.0,4.0,1.0,0.0,493253.0,,,,1.0,4903.0,0.0,0.0,2025,2.0,0.0,0,2.0,3721.0,4.0,1.0,,986506.0,48.0,2
2.0,61.0,3.0,1.0,6.0,1.0,0.0,900000.0,,,,1.0,8600.0,2.0,0.0,2025,1.0,0.0,0,1.0,3721.0,7.0,1.0,17.0,2700000.0,30.0,3
2.0,28.0,5.0,1.0,6.0,1.0,0.0,900000.0,,,,1.0,8600.0,0.0,5.0,2025,3.0,1.0,0,1.0,784.0,7.0,1.0,17.0,2700000.0,,3
1.0,50.0,2.0,1.0,6.0,1.0,0.0,450000.0,,,,1.0,2800.0,0.0,0.0,2025,2.0,0.0,0,1.0,2500.0,7.0,1.0,17.0,1800000.0,50.0,4
2.0,46.0,2.0,1.0,3.0,1.0,0.0,450000.0,3.0,,,1.0,2800.0,0.0,0.0,2025,4.0,0.0,1,2.0,2116.0,4.0,2.0,,1800000.0,,4
1.0,42.0,2.0,4.0,5.0,1.0,0.0,200000.0,4.0,226.0,226.0,1.0,4502.0,1.0,0.0,2025,2.0,0.0,0,1.0,1764.0,7.0,2.0,16.0,800000.0,,4
1.0,64.0,3.0,1.0,6.0,1.0,0.0,200000.0,,,,1.0,4501.0,0.0,6.0,2025,3.0,2.0,1,2.0,4096.0,6.0,1.0,15.0,400000.0,36.0,2
1.0,46.0,2.0,1.0,6.0,1.0,0.0,0.0,,,,2.0,8401.0,0.0,6.0,2025,3.0,1.0,0,1.0,2116.0,7.0,1.0,17.0,0.0,44.0,5
2.0,41.0,2.0,1.0,6.0,1.0,0.0,0.0,,,,2.0,6900.0,0.0,0.0,2025,2.0,0.0,0,1.0,1681.0,7.0,1.0,17.0,0.0,,5
1.0,62.0,2.0,1.0,2.0,1.0,0.0,310000.0,,,,1.0,8600.0,0.0,1.0,2025,3.0,2.0,1,2.0,3844.0,2.0,1.0,6.0,620000.0,,2
2.0,35.0,5.0,1.0,6.0,1.0,0.0,2750000.0,,,,2.0,6900.0,0.0,5.0,2025,3.0,1.0,0,1.0,1225.0,7.0,1.0,17.0,2750000.0,54.0,1
2.0,59.0,3.0,1.0,4.0,1.0,0.0,0.0,,,,1.0,6500.0,0.0,6.0,2025,3.0,1.0,0,1.0,3481.0,4.0,1.0,,0.0,44.0,5
1.0,31.0,1.0,1.0,4.0,1.0,0.0,0.0,,,,1.0,9503.0,0.0,6.0,2025,3.0,1.0,0,1.0,961.0,4.0,1.0,,0.0,,5
2.0,31.0,5.0,4.0,6.0,1.0,0.0,508000.0,,,,2.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,961.0,6.0,1.0,15.0,508000.0,28.0,1
2.0,19.0,5.0,1.0,5.0,1.0,0.0,1040000.0,0.0,,,1.0,5601.0,0.0,1.0,2025,3.0,2.0,1,2.0,361.0,7.0,2.0,12.0,5200000.0,,5
1.0,39.0,2.0,1.0,4.0,1.0,0.0,1040000.0,,,,1.0,3502.0,0.0,6.0,2025,3.0,1.0,0,1.0,1521.0,4.0,1.0,,5200000.0,48.0,5
1.0,57.0,2.0,1.0,2.0,1.0,0.0,544500.0,,,,1.0,1009.0,0.0,6.0,2025,3.0,1.0,0,1.0,3249.0,2.0,1.0,6.0,1089000.0,,2
1.0,32.0,1.0,1.0,5.0,1.0,0.0,1025000.0,3.0,70.0,,1.0,4803.0,0.0,5.0,2025,3.0,1.0,0,1.0,1024.0,7.0,2.0,15.0,2050000.0,48.0,2
1.0,35.0,1.0,1.0,3.0,1.0,0.0,1025000.0,2.0,70.0,,1.0,5601.0,0.0,5.0,2025,3.0,1.0,0,1.0,1225.0,4.0,2.0,,2050000.0,,2
1.0,44.0,1.0,4.0,5.0,1.0,0.0,194800.0,0.0,,,1.0,4803.0,0.0,0.0,2025,2.0,0.0,0,2.0,1936.0,6.0,2.0,12.0,974000.0,30.0,5
2.0,40.0,1.0,4.0,4.0,1.0,0.0,194800.0,,,,1.0,4803.0,0.0,0.0,2025,4.0,0.0,1,2.0,1600.0,4.0,1.0,,974000.0,,5
2.0,37.0,2.0,1.0,3.0,1.0,0.0,1040000.0,4.0,,,1.0,5601.0,0.0,3.0,2025,3.0,1.0,0,1.0,1369.0,4.0,2.0,,5200000.0,,5
2.0,49.0,5.0,1.0,6.0,1.0,0.0,0.0,,,,1.0,6800.0,0.0,6.0,2025,3.0,2.0,1,2.0,2401.0,6.0,1.0,15.0,0.0,46.0,2
1.0,26.0,2.0,1.0,5.0,1.0,0.0,275000.0,0.0,,,1.0,8000.0,0.0,2.0,2025,3.0,1.0,0,1.0,676.0,6.0,2.0,12.0,1100000.0,60.0,4
1.0,69.0,2.0,1.0,4.0,1.0,0.0,1044750.0,,,,1.0,2500.0,0.0,0.0,2025,2.0,0.0,0,2.0,4761.0,4.0,1.0,,4179000.0,,4
1.0,32.0,5.0,1.0,6.0,1.0,0.0,1044750.0,,,,1.0,4803.0,0.0,5.0,2025,3.0,1.0,0,1.0,1024.0,7.0,1.0,17.0,4179000.0,,4
1.0,31.0,1.0,1.0,6.0,1.0,0.0,1300000.0,,,,1.0,7100.0,0.0,5.0,2025,3.0,1.0,0,1.0,961.0,7.0,1.0,17.0,2600000.0,50.0,2
2.0,29.0,1.0,1.0,5.0,1.0,0.0,1300000.0,4.0,,,1.0,6300.0,0.0,6.0,2025,3.0,2.0,1,2.0,841.0,7.0,2.0,16.0,2600000.0,,2
2.0,42.0,1.0,4.0,5.0,1.0,0.0,500000.0,3.0,,,1.0,4807.0,0.0,5.0,2025,3.0,2.0,1,2.0,1764.0,7.0,2.0,15.0,1000000.0,,2
2.0,53.0,2.0,1.0,2.0,1.0,0.0,0.0,,34.0,,1.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,2809.0,2.0,1.0,6.0,0.0,25.0,3
1.0,32.0,5.0,1.0,4.0,1.0,0.0,0.0,,,,1.0,5300.0,0.0,5.0,2025,3.0,2.0,1,2.0,1024.0,4.0,1.0,,0.0,,3
1.0,40.0,2.0,1.0,6.0,1.0,0.0,1916666.67,,,,1.0,5601.0,0.0,0.0,2025,1.0,0.0,0,1.0,1600.0,6.0,1.0,15.0,5750000.0,30.0,3
2.0,40.0,2.0,1.0,6.0,1.0,0.0,1916666.67,,,,1.0,6400.0,0.0,6.0,2025,3.0,1.0,0,1.0,1600.0,6.0,1.0,15.0,5750000.0,,3
2.0,36.0,5.0,4.0,5.0,1.0,0.0,385333.33,3.0,,,1.0,4803.0,0.0,5.0,2025,3.0,2.0,1,2.0,1296.0,7.0,2.0,15.0,1156000.0,25.0,3
1.0,41.0,5.0,1.0,5.0,1.0,0.0,1044750.0,4.0,,,1.0,9200.0,0.0,5.0,2025,3.0,1.0,0,1.0,1681.0,7.0,2.0,16.0,4179000.0,,4
1.0,58.0,3.0,1.0,4.0,1.0,0.0,2500000.0,,,,0.0,600.0,0.0,6.0,2025,3.0,1.0,0,1.0,3364.0,4.0,1.0,,2500000.0,0.0,1
2.0,55.0,1.0,4.0,4.0,1.0,0.0,0.0,,78.0,,1.0,4807.0,0.0,0.0,2025,2.0,0.0,0,2.0,3025.0,4.0,1.0,,0.0,48.0,10
1.0,57.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,,,1.0,1300.0,0.0,6.0,2025,3.0,1.0,0,1.0,3249.0,6.0,2.0,12.0,0.0,,10
1.0,34.0,3.0,4.0,3.0,1.0,0.0,0.0,2.0,,,1.0,4903.0,0.0,1.0,2025,3.0,2.0,1,2.0,1156.0,4.0,2.0,,0.0,,10
1.0,31.0,1.0,4.0,3.0,1.0,0.0,0.0,2.0,,,1.0,1009.0,0.0,1.0,2025,3.0,2.0,1,2.0,961.0,4.0,2.0,,0.0,,10
1.0,63.0,3.0,4.0,2.0,1.0,0.0,297600.0,,,,1.0,4000.0,0.0,0.0,2025,2.0,0.0,0,2.0,3969.0,2.0,1.0,6.0,1488000.0,24.0,5
1.0,52.0,2.0,4.0,2.0,1.0,0.0,37000.0,,,,1.0,2500.0,0.0,0.0,2025,2.0,0.0,0,2.0,2704.0,2.0,1.0,6.0,148000.0,10.0,4
1.0,48.0,2.0,1.0,6.0,1.0,0.0,2000000.0,,222.0,6.0,1.0,1009.0,0.0,0.0,2025,1.0,0.0,0,1.0,2304.0,7.0,1.0,17.0,6000000.0,42.0,3
2.0,47.0,2.0,1.0,6.0,1.0,0.0,2000000.0,,6.0,6.0,1.0,1009.0,0.0,0.0,2025,1.0,0.0,0,1.0,2209.0,7.0,1.0,17.0,6000000.0,,3
1.0,29.0,1.0,1.0,3.0,1.0,0.0,297600.0,99.0,,,1.0,4803.0,0.0,6.0,2025,3.0,1.0,0,1.0,841.0,4.0,2.0,,1488000.0,,5
2.0,45.0,2.0,1.0,4.0,1.0,0.0,330000.0,,,,1.0,8000.0,0.0,3.0,2025,3.0,1.0,0,1.0,2025.0,4.0,1.0,,990000.0,48.0,3
1.0,44.0,2.0,1.0,3.0,1.0,0.0,330000.0,99.0,,,1.0,8102.0,0.0,0.0,2025,2.0,0.0,0,2.0,1936.0,4.0,2.0,,990000.0,,3
2.0,44.0,1.0,4.0,4.0,1.0,0.0,346666.67,,,,1.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,1936.0,4.0,1.0,,2080000.0,,6
1.0,37.0,1.0,1.0,4.0,1.0,0.0,346666.67,,,,1.0,6500.0,0.0,6.0,2025,3.0,1.0,0,1.0,1369.0,4.0,1.0,,2080000.0,,6
1.0,47.0,2.0,4.0,2.0,1.0,0.0,284500.0,,,,1.0,4904.0,0.0,2.0,2025,3.0,2.0,1,2.0,2209.0,2.0,1.0,6.0,1707000.0,21.0,6
2.0,52.0,2.0,1.0,2.0,1.0,0.0,284500.0,,,,2.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,2704.0,2.0,1.0,6.0,1707000.0,,6
1.0,38.0,2.0,4.0,4.0,1.0,0.0,154547.2,,,,1.0,1009.0,1.0,0.0,2025,2.0,0.0,0,2.0,1444.0,4.0,1.0,,772736.0,60.0,5
2.0,35.0,2.0,4.0,4.0,1.0,0.0,154547.2,,,,1.0,1009.0,1.0,0.0,2025,2.0,0.0,0,2.0,1225.0,4.0,1.0,,772736.0,,5
1.0,25.0,5.0,4.0,4.0,1.0,0.0,413000.0,,,,1.0,8102.0,0.0,0.0,2025,2.0,0.0,0,2.0,625.0,4.0,1.0,,826000.0,,2
1.0,40.0,1.0,4.0,3.0,1.0,0.0,146142.86,0.0,,,1.0,4000.0,0.0,5.0,2025,3.0,2.0,1,2.0,1600.0,4.0,2.0,,1023000.0,40.0,7
1.0,35.0,1.0,4.0,3.0,1.0,0.0,560750.0,3.0,,,1.0,1009.0,0.0,5.0,2025,3.0,2.0,1,2.0,1225.0,4.0,2.0,,2243000.0,,4
1.0,33.0,2.0,4.0,2.0,1.0,0.0,400000.0,,,,1.0,4808.0,0.0,0.0,2025,2.0,0.0,0,2.0,1089.0,2.0,1.0,6.0,800000.0,40.0,2
1.0,38.0,2.0,4.0,2.0,1.0,0.0,0.0,,,,2.0,101.0,0.0,6.0,2025,3.0,2.0,1,2.0,1444.0,2.0,1.0,6.0,0.0,32.0,5
2.0,44.0,2.0,3.0,2.0,1.0,0.0,0.0,,,,1.0,5601.0,0.0,0.0,2025,2.0,0.0,0,2.0,1936.0,2.0,1.0,6.0,0.0,,5
1.0,23.0,5.0,4.0,4.0,1.0,0.0,900000.0,,,,1.0,4803.0,0.0,3.0,2025,3.0,2.0,1,2.0,529.0,4.0,1.0,,900000.0,30.0,1
2.0,59.0,3.0,1.0,6.0,1.0,0.0,0.0,,208.0,,1.0,6900.0,0.0,5.0,2025,3.0,2.0,1,2.0,3481.0,6.0,1.0,15.0,0.0,30.0,2
2.0,28.0,5.0,1.0,6.0,1.0,0.0,0.0,,,,1.0,5500.0,0.0,6.0,2025,3.0,1.0,0,1.0,784.0,7.0,1.0,17.0,0.0,,2
1.0,39.0,2.0,4.0,3.0,1.0,0.0,263000.0,4.0,,,1.0,4000.0,0.0,0.0,2025,1.0,0.0,0,2.0,1521.0,4.0,2.0,,1052000.0,32.0,4
2.0,33.0,5.0,4.0,4.0,1.0,0.0,155666.67,,,,1.0,1009.0,0.0,3.0,2025,3.0,2.0,1,2.0,1089.0,4.0,1.0,,934000.0,,6
2.0,30.0,5.0,4.0,3.0,1.0,0.0,155666.67,4.0,,,1.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,900.0,4.0,2.0,,934000.0,,6
1.0,30.0,1.0,4.0,3.0,1.0,0.0,0.0,5.0,,,1.0,4808.0,0.0,0.0,2025,2.0,0.0,0,2.0,900.0,4.0,2.0,,0.0,41.0,4
