CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,CH14,CH15_COD,CH16_COD,PP03C,PP04B_COD,PP06H,PP07A,AÑO,CAT_OCUP,PP07H,informal,EMPLEO,edad2,CH12,CH13,educ,ingreso_total_familiar,horastrab,ix_tot
1.0,51.0,2.0,4.0,1.0,1.0,0.0,543232.4,5.0,202.0,,1.0,4000.0,0.0,0.0,2025,1.0,0.0,0,2.0,2601.0,2.0,2.0,5.0,2716162.0,40.0,5
2.0,46.0,2.0,1.0,3.0,1.0,0.0,543232.4,5.0,202.0,,1.0,9409.0,0.0,6.0,2025,3.0,2.0,1,2.0,2116.0,4.0,2.0,,2716162.0,,5
2.0,18.0,5.0,4.0,4.0,1.0,0.0,543232.4,,,,1.0,9200.0,0.0,2.0,2025,3.0,2.0,1,2.0,324.0,4.0,1.0,,2716162.0,,5
1.0,29.0,5.0,1.0,5.0,1.0,0.0,650000.0,4.0,,,1.0,4808.0,0.0,5.0,2025,3.0,1.0,0,1.0,841.0,7.0,2.0,16.0,1300000.0,56.0,2
2.0,32.0,5.0,1.0,5.0,1.0,0.0,650000.0,2.0,,,1.0,9700.0,0.0,0.0,2025,3.0,1.0,0,1.0,1024.0,7.0,2.0,14.0,1300000.0,,2
2.0,48.0,5.0,4.0,3.0,1.0,0.0,314750.0,3.0,,,1.0,4804.0,0.0,0.0,2025,2.0,0.0,0,2.0,2304.0,4.0,2.0,,1259000.0,24.0,4
1.0,17.0,5.0,4.0,3.0,1.0,0.0,314750.0,3.0,,,1.0,4804.0,0.0,0.0,2025,2.0,0.0,0,2.0,289.0,4.0,2.0,,1259000.0,,4
2.0,49.0,1.0,1.0,4.0,1.0,0.0,500000.0,,,,1.0,8600.0,0.0,6.0,2025,3.0,1.0,0,1.0,2401.0,4.0,1.0,,1500000.0,30.0,3
1.0,51.0,1.0,4.0,4.0,1.0,0.0,500000.0,,,,1.0,4000.0,0.0,6.0,2025,3.0,2.0,1,2.0,2601.0,4.0,1.0,,1500000.0,,3
2.0,41.0,5.0,4.0,5.0,1.0,0.0,234666.67,2.0,,,1.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,1681.0,6.0,2.0,14.0,704000.0,18.0,3
1.0,32.0,1.0,1.0,6.0,1.0,0.0,280000.0,,,,1.0,8401.0,0.0,5.0,2025,3.0,1.0,0,1.0,1024.0,6.0,1.0,15.0,1400000.0,40.0,5
1.0,55.0,2.0,1.0,3.0,1.0,0.0,933333.33,4.0,,,1.0,4904.0,0.0,6.0,2025,3.0,2.0,1,2.0,3025.0,4.0,2.0,,2800000.0,40.0,3
2.0,52.0,2.0,1.0,6.0,1.0,0.0,933333.33,,,,1.0,8501.0,0.0,6.0,2025,3.0,1.0,0,1.0,2704.0,8.0,1.0,19.0,2800000.0,,3
2.0,46.0,2.0,1.0,3.0,1.0,0.0,420473.33,2.0,,,1.0,8501.0,0.0,5.0,2025,3.0,2.0,1,2.0,2116.0,4.0,2.0,,1261420.0,,3
1.0,60.0,1.0,1.0,6.0,1.0,0.0,1033166.67,,,,2.0,8600.0,0.0,6.0,2025,3.0,1.0,0,1.0,3600.0,6.0,1.0,15.0,3099500.0,60.0,3
1.0,46.0,2.0,1.0,6.0,1.0,0.0,0.0,,,,1.0,4000.0,0.0,0.0,2025,2.0,0.0,0,1.0,2116.0,6.0,1.0,15.0,0.0,40.0,2
2.0,45.0,2.0,1.0,6.0,1.0,0.0,0.0,,,,1.0,8600.0,0.0,0.0,2025,2.0,0.0,0,1.0,2025.0,6.0,1.0,15.0,0.0,,2
1.0,51.0,2.0,1.0,6.0,1.0,0.0,883333.33,,,,1.0,8401.0,0.0,6.0,2025,3.0,1.0,0,1.0,2601.0,7.0,1.0,17.0,5300000.0,72.0,6
2.0,47.0,2.0,1.0,4.0,1.0,0.0,883333.33,,,,1.0,8600.0,0.0,5.0,2025,3.0,2.0,1,2.0,2209.0,4.0,1.0,,5300000.0,,6
1.0,28.0,5.0,1.0,6.0,1.0,0.0,883333.33,,,,1.0,8401.0,0.0,5.0,2025,3.0,1.0,0,1.0,784.0,7.0,1.0,17.0,5300000.0,,6
1.0,27.0,5.0,1.0,6.0,1.0,0.0,883333.33,,,,1.0,4807.0,0.0,5.0,2025,3.0,1.0,0,1.0,729.0,7.0,1.0,17.0,5300000.0,,6
1.0,46.0,2.0,4.0,2.0,1.0,0.0,420473.33,,,,1.0,3100.0,0.0,0.0,2025,2.0,0.0,0,1.0,2116.0,2.0,1.0,6.0,1261420.0,40.0,3
1.0,49.0,1.0,4.0,4.0,1.0,0.0,131285.71,,,,1.0,4803.0,0.0,6.0,2025,3.0,2.0,1,2.0,2401.0,4.0,1.0,,919000.0,36.0,7
2.0,31.0,3.0,4.0,5.0,1.0,0.0,0.0,2.0,,,1.0,5601.0,0.0,5.0,2025,3.0,2.0,1,2.0,961.0,6.0,2.0,14.0,0.0,,5
2.0,23.0,5.0,4.0,3.0,1.0,0.0,84728.0,5.0,,,1.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,529.0,4.0,2.0,,338912.0,,4
1.0,71.0,4.0,1.0,6.0,1.0,0.0,4000000.0,,,,1.0,4000.0,0.0,0.0,2025,1.0,0.0,0,1.0,5041.0,7.0,1.0,17.0,8000000.0,82.0,2
1.0,33.0,5.0,1.0,6.0,1.0,0.0,4000000.0,,,,1.0,4000.0,0.0,6.0,2025,3.0,2.0,1,2.0,1089.0,7.0,1.0,17.0,8000000.0,,2
1.0,37.0,5.0,1.0,6.0,1.0,0.0,1050000.0,,,,1.0,4903.0,0.0,6.0,2025,3.0,1.0,0,1.0,1369.0,6.0,1.0,15.0,3150000.0,,3
2.0,36.0,1.0,1.0,4.0,1.0,0.0,2069000.0,,,,1.0,1009.0,0.0,6.0,2025,3.0,2.0,1,2.0,1296.0,4.0,1.0,,8276000.0,,4
1.0,38.0,1.0,1.0,4.0,1.0,0.0,2069000.0,,,,1.0,2500.0,0.0,6.0,2025,3.0,2.0,1,2.0,1444.0,4.0,1.0,,8276000.0,48.0,4
2.0,38.0,3.0,4.0,4.0,1.0,0.0,0.0,,,,2.0,5601.0,0.0,0.0,2025,2.0,0.0,0,2.0,1444.0,4.0,1.0,,0.0,20.0,3
2.0,22.0,5.0,1.0,6.0,1.0,0.0,255333.33,,,,2.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,484.0,7.0,1.0,17.0,766000.0,,3
1.0,25.0,5.0,4.0,5.0,1.0,0.0,966620.25,3.0,,,1.0,3100.0,0.0,0.0,2025,1.0,0.0,0,1.0,625.0,7.0,2.0,15.0,3866481.0,,4
